Game,Score,Mean Score
90,0,0.1111111111111111
91,0,0.10989010989010989
92,0,0.10869565217391304
93,0,0.10752688172043011
94,0,0.10638297872340426
95,0,0.10526315789473684
96,0,0.10416666666666667
97,0,0.10309278350515463
98,0,0.10204081632653061
99,0,0.10101010101010101
100,0,0.1
101,0,0.09900990099009901
102,0,0.09803921568627451
103,0,0.0970873786407767
104,0,0.09615384615384616
105,0,0.09523809523809523
106,0,0.09433962264150944
107,0,0.09345794392523364
108,0,0.09259259259259259
109,0,0.09174311926605505
110,0,0.09090909090909091
111,0,0.09009009009009009
112,0,0.08928571428571429
113,0,0.08849557522123894
114,0,0.08771929824561403
115,0,0.08695652173913043
116,0,0.08620689655172414
117,0,0.08547008547008547
118,0,0.0847457627118644
119,0,0.08403361344537816
120,0,0.08333333333333333
121,0,0.08264462809917356
122,0,0.08196721311475409
123,0,0.08130081300813008
124,0,0.08064516129032258
125,0,0.08
126,0,0.07936507936507936
127,0,0.07874015748031496
128,0,0.078125
129,0,0.07751937984496124
130,0,0.07692307692307693
131,0,0.07633587786259542
132,0,0.07575757575757576
133,0,0.07518796992481203
134,0,0.07462686567164178
135,0,0.07407407407407407
136,0,0.07352941176470588
137,0,0.072992700729927
138,0,0.07246376811594203
139,0,0.07194244604316546
140,0,0.07142857142857142
141,0,0.07092198581560284
142,1,0.07746478873239436
143,0,0.07692307692307693
144,0,0.0763888888888889
145,0,0.07586206896551724
146,0,0.07534246575342465
147,0,0.07482993197278912
148,0,0.07432432432432433
149,0,0.0738255033557047
150,0,0.07333333333333333
151,0,0.0728476821192053
152,0,0.07236842105263158
153,0,0.0718954248366013
154,0,0.07142857142857142
155,0,0.07096774193548387
156,0,0.07051282051282051
157,0,0.07006369426751592
158,0,0.06962025316455696
159,0,0.06918238993710692
160,0,0.06875
161,0,0.06832298136645963
162,0,0.06790123456790123
163,0,0.06748466257668712
164,0,0.06707317073170732
165,0,0.06666666666666667
166,0,0.06626506024096386
167,0,0.0658682634730539
168,0,0.06547619047619048
169,0,0.0650887573964497
170,0,0.06470588235294118
171,0,0.06432748538011696
172,0,0.06395348837209303
173,0,0.06358381502890173
174,0,0.06321839080459771
175,0,0.06285714285714286
176,0,0.0625
177,0,0.062146892655367235
178,0,0.06179775280898876
179,0,0.061452513966480445
180,0,0.06111111111111111
181,0,0.06077348066298342
182,0,0.06043956043956044
183,0,0.060109289617486336
184,0,0.059782608695652176
185,0,0.05945945945945946
186,0,0.05913978494623656
187,0,0.058823529411764705
188,0,0.05851063829787234
189,0,0.0582010582010582
190,0,0.05789473684210526
191,1,0.06282722513089005
192,0,0.0625
193,0,0.06217616580310881
194,0,0.061855670103092786
195,0,0.06153846153846154
196,0,0.061224489795918366
197,0,0.06091370558375635
198,0,0.06060606060606061
199,1,0.06532663316582915
200,0,0.065
201,0,0.06467661691542288
202,0,0.06435643564356436
203,0,0.06403940886699508
