Game,Score,Mean Score
89,0,0.11235955056179775
90,0,0.1111111111111111
91,0,0.10989010989010989
92,0,0.10869565217391304
93,0,0.10752688172043011
94,0,0.10638297872340426
95,0,0.10526315789473684
96,0,0.10416666666666667
97,0,0.10309278350515463
98,0,0.10204081632653061
99,0,0.10101010101010101
100,1,0.11
101,0,0.10891089108910891
102,0,0.10784313725490197
103,0,0.10679611650485436
104,0,0.10576923076923077
105,0,0.10476190476190476
106,0,0.10377358490566038
107,0,0.102803738317757
108,0,0.10185185185185185
109,0,0.10091743119266056
110,0,0.1
111,0,0.0990990990990991
112,0,0.09821428571428571
113,0,0.09734513274336283
114,0,0.09649122807017543
115,1,0.10434782608695652
116,0,0.10344827586206896
117,0,0.10256410256410256
118,0,0.1016949152542373
119,0,0.10084033613445378
120,0,0.1
121,0,0.09917355371900827
122,0,0.09836065573770492
123,0,0.0975609756097561
124,0,0.0967741935483871
125,0,0.096
126,0,0.09523809523809523
127,0,0.09448818897637795
128,0,0.09375
129,0,0.09302325581395349
130,0,0.09230769230769231
131,0,0.0916030534351145
132,0,0.09090909090909091
133,0,0.09022556390977443
134,0,0.08955223880597014
135,0,0.08888888888888889
136,0,0.08823529411764706
137,0,0.08759124087591241
138,0,0.08695652173913043
139,0,0.08633093525179857
140,0,0.08571428571428572
141,0,0.0851063829787234
142,0,0.08450704225352113
143,0,0.08391608391608392
144,0,0.08333333333333333
145,0,0.08275862068965517
146,0,0.0821917808219178
147,0,0.08163265306122448
148,0,0.08108108108108109
149,0,0.08053691275167785
150,0,0.08
151,0,0.07947019867549669
152,0,0.07894736842105263
153,0,0.0784313725490196
154,0,0.07792207792207792
155,1,0.08387096774193549
156,0,0.08333333333333333
157,0,0.08280254777070063
158,0,0.08227848101265822
159,0,0.08176100628930817
160,0,0.08125
161,0,0.08074534161490683
162,0,0.08024691358024691
163,0,0.07975460122699386
164,0,0.07926829268292683
165,0,0.07878787878787878
166,0,0.0783132530120482
167,0,0.07784431137724551
168,0,0.07738095238095238
169,0,0.07692307692307693
170,0,0.07647058823529412
171,1,0.08187134502923976
172,0,0.08139534883720931
173,0,0.08092485549132948
174,0,0.08045977011494253
175,0,0.08
176,0,0.07954545454545454
177,0,0.07909604519774012
178,0,0.07865168539325842
179,0,0.0782122905027933
180,0,0.07777777777777778
181,0,0.07734806629834254
182,0,0.07692307692307693
183,0,0.07650273224043716
184,0,0.07608695652173914
185,0,0.07567567567567568
186,0,0.07526881720430108
187,0,0.0748663101604278
188,0,0.07446808510638298
189,0,0.07407407407407407
190,0,0.07368421052631578
191,0,0.07329842931937172
192,0,0.07291666666666667
193,0,0.07253886010362694
194,0,0.07216494845360824
195,0,0.07179487179487179
196,0,0.07142857142857142
197,0,0.07106598984771574
198,0,0.0707070707070707
199,0,0.07035175879396985
200,0,0.07
201,0,0.06965174129353234
202,0,0.06930693069306931
